Date,Account,Description,Category,Tags,Amount
12/31/2024,Credit Card 2637,Wendy's,Restaurants,,-25.92
12/31/2024,Checking 2637,American Express,Credit Card Payments,,-1300.38
12/31/2024,Checking 2300,Online Transfer To Person Two S Everyday Checking Xxxxxxxxx2628 Ref #ib0qs5vscv On 12/31/24,Transfers,,-50
12/31/2024,Checking 2300,Online Transfer From Person Two S Way2save Savings Xxxxxxxxx9793 Ref #ib0qs5w5mz On 12/31/24,Savings,,10
12/31/2024,Checking 2628,Online Transfer To Person Two S Everyday Checking Xxxxxx0819 Ref #ib0qs5wksl On 12/31/24,Transfers,,-60
12/31/2024,Checking 2628,Online Transfer From Person One Everyday Checking Xxxxxxxxx2300 Ref #ib0qs5vscv On 12/31/24,Transfers,,50
12/31/2024,Savings 9667,Online Transfer To Person Two S Everyday Checking Xxxxxx0819 Ref #ib0qs5vzs9 On 12/31/24,Transfers,,-20
12/31/2024,Savings 9793,Wells Fargo,Transfers,,-10
12/31/2024,Checking 4690,Zelle To Shailesh On 12/31 Ref #pp0ydblzq8 Appliances,Transfers,,-150
12/31/2024,Checking 4690,Datastax Inc-osv Xxxxxxxxxx Xx1231 31osv03ivn Person One,Refunds & Reimbursements,,6353.37
12/31/2024,Checking 4690,Datastax Inc-osv Xxxxxxxxxx Xx1231 31osv03iij Person One,Refunds & Reimbursements,,82.16
12/31/2024,Credit Card 7031,Mathway,Education,,-19.99
12/31/2024,Brokerage 8440,Redemption From Core Account Cash,Securities Trades,,4000
12/31/2024,Brokerage 8440,Reinvestment Invesco Qqq Tr Unit Ser 1,Securities Trades,,-14.21
12/31/2024,Brokerage 8440,Dividend Received Invesco Qqq Tr Unit Ser 1,Investment Income,,14.21
12/31/2024,Brokerage 8440,Reinvestment Cash,Securities Trades,,-4.68
12/31/2024,Brokerage 8440,Interest Earned Cash,Investment Income,,4.68
12/31/2024,Brokerage 8440,Electronic Funds Transfer Paid,Transfers,,-4000
12/31/2024,HSA 4750,Bought Fdic Insured Deposit Fdicx9359 Cash,Securities Trades,,0.16
12/31/2024,HSA 4750,Taxable Interest Fdic Insured Deposit Fdicx9359,Investment Income,,0.16
12/31/2024,Credit Card 2637,Loudoun County Public Schools,Education,,-35
12/31/2024,Brokerage IND,Usd - Us Dollars And Money Fund Sweeps,Investment Income,,4.99
12/31/2024,Brokerage IRA,Usd - Us Dollars And Money Fund Sweeps,Investment Income,,29.38
12/31/2024,Brokerage IRA,Es - Eversource Energy,Dividends Received (tax-advantaged),,55.77
12/31/2024,Brokerage IRA,Nwe - Northwestern Energy Group In,Dividends Received (tax-advantaged),,30.55
12/31/2024,Brokerage IRA,Vrsk - Verisk Analytics Inc,Dividends Received (tax-advantaged),,7.02
12/31/2024,Brokerage IRA,Avgo - Broadcom Inc,Dividends Received (tax-advantaged),,14.75
12/31/2024,Brokerage IRA,Sci - Service Corp Intl,Dividends Received (tax-advantaged),,22.2
12/30/2024,Credit Card 2637,Doordash,Restaurants,,-32.03
12/30/2024,Credit Card 2637,Wegmans,Groceries,,-279.4
12/30/2024,Credit Card 2637,Birkenstock,Clothing/Shoes,,-122.55
12/30/2024,Credit Card 2637,Party City,Entertainment,,-88.58
12/30/2024,Credit Card 2637,Wendy's,Restaurants,,-25.92
12/30/2024,Checking 2637,Paypal Inst Xfer Xx1228 Gamingfunds Person One,Transfers,,-50
12/30/2024,Checking 2300,Online Transfer To Person Two S Everyday Checking Xxxxxxxxx2628 Ref #ib0qrs23j7 On 12/30/24,Transfers,,-50
12/30/2024,Checking 2300,Recurring Transfer To Person Two S Way2save Savings Ref #op0qr7p59d Xxxxxxxxx9667,Transfers,,-100
12/30/2024,Checking 2628,Online Transfer To Person Two S Everyday Checking Xxxxxx0819 Ref #ib0qrs25g2 On 12/30/24,Transfers,,-50
12/30/2024,Checking 2628,Online Transfer To Person Two S Everyday Checking Xxxxxx0819 Ref #ib0qrrzyv6 On 12/30/24,Transfers,,-170
12/30/2024,Checking 2628,Online Transfer To Person Two S Everyday Checking Xxxxxx0819 Ref #ib0qrl66r4 On 12/29/24,Transfers,,-60
12/30/2024,Checking 2628,Recurring Transfer To Person Two S Way2save Savings Ref #op0qr7qd2y Xxxxxxxxx9793,Transfers,,-100
12/30/2024,Checking 2628,Online Transfer From Person One Everyday Checking Xxxxxxxxx2300 Ref #ib0qrs23j7 On 12/30/24,Transfers,,50
12/30/2024,Checking 2628,Online Transfer From Person Two S Way2save Savings Xxxxxxxxx9793 Ref #ib0qrrzwnl On 12/30/24,Savings,,80
12/30/2024,Checking 2628,Online Transfer From Person Two S Way2save Savings Xxxxxxxxx9667 Ref #ib0qrrztvp On 12/30/24,Savings,,90
12/30/2024,Savings 9667,Online Transfer To Person Two S Everyday Checking Xxxxxxxxx2628 Ref #ib0qrrztvp On 12/30/24,Transfers,,-90
12/30/2024,Savings 9667,Recurring Transfer From Person One Everyday Checking Ref #op0qr7p59d Xxxxxxxxx2300,Transfers,,100
